DADOS: [0.0, -3.141592653589793, -1.5707963267948966, -1.5707963267948966, -1.5707963267948966, 1.5707963267948966, 6.252118446494088]
DADOS: [0.004166666666666667, -3.141671947897492, -1.570796471842135, -1.5707759325899064, -1.5708499736200277, 1.5707857613072318, 6.251795668520344]
DADOS: [0.008333333333333333, -3.141749639437294, -1.5707865676771755, -1.5707581968392086, -1.5708315856637525, 1.570736398592759, 6.2515426855194]
DADOS: [0.0125, -3.141831152458791, -1.5707756826569226, -1.570743212376184, -1.5707949422601313, 1.5706953331236015, 6.251270592747423]
DADOS: [0.016666666666666666, -3.1419220991212087, -1.5707699602799536, -1.5707288622395865, -1.570777829266877, 1.5706880418614755, 6.251024620633874]
DADOS: [0.020833333333333332, -3.1431198726397587, -1.5713070554306177, -1.5702266118854846, -1.570717057566752, 1.570712176627195, 6.249610049522655]
DADOS: [0.025, -3.1441996215594052, -1.5717938250300807, -1.569771661312479, -1.5706862005153674, 1.5707236648609089, 6.248289001641916]
DADOS: [0.029166666666666667, -3.1451672065914917, -1.572228443649425, -1.5693663543134757, -1.5706338652180187, 1.570704944582922, 6.247181130430473]
DADOS: [0.03333333333333333, -3.1460385541610796, -1.5726205223220167, -1.5690012910112374, -1.5705934027012642, 1.5706844199220007, 6.246172376156155]
DADOS: [0.0375, -3.1468228500148316, -1.5729737516519158, -1.5686726747894908, -1.5705592166268163, 1.570663675366285, 6.245258675039974]
DADOS: [0.041666666666666664, -3.147531643048091, -1.5732936775145614, -1.5683726311655428, -1.5705440247615565, 1.5706657644335187, 6.244452862721189]
DADOS: [0.04583333333333333, -3.148168005765236, -1.5735806511503974, -1.5681015506470384, -1.570523338724001, 1.5706536035802394, 6.243684804565954]
DADOS: [0.05, -3.1487408309197296, -1.5738387751855174, -1.567857370937695, -1.5705029416284888, 1.570646120976314, 6.243004756984243]
DADOS: [0.05416666666666667, -3.1492563946913865, -1.5740709778905821, -1.5676375597224856, -1.570483360095325, 1.5706406452338986, 6.242396921076751]
DADOS: [0.058333333333333334, -3.14972056317923, -1.5742799614754106, -1.5674396741766434, -1.5704652076543995, 1.5706380996519071, 6.241856405528163]
DADOS: [0.0625, -3.1501384711170943, -1.5744681484592211, -1.5672613520407, -1.5704493048204775, 1.5706373921604442, 6.2413741175054165]
DADOS: [0.06666666666666667, -3.1505147265129123, -1.5746376102102544, -1.5671006409786523, -1.5704354025556062, 1.5706381414611494, 6.240943983012524]
